sequence_number,US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,Freq,last_update_days_ago,1st_update_days_ago,Web order,Gender=male,Address_is_res,Purchase,Spending,Partition,,
20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3120,3120,0,1,0,0,0,t,,
21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2943,2984,1,0,0,1,386,s,,
22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1928,1983,0,1,0,1,161,t,,
23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,310,310,0,0,1,0,0,t,,
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1463,1486,0,0,1,1,174,t,,
25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3613,3655,1,1,0,1,131,t,,
26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2460,2732,1,0,0,1,189,t,,
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3394,3394,0,0,0,0,0,t,,
28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,1569,1,0,0,0,0,t,,
29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3299,3299,0,0,0,1,90,v,,
30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3744,3745,0,1,0,1,354,t,,
31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3090,3090,0,0,0,0,0,v,,
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2947,3171,1,0,0,1,352,v,,
33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2123,2123,0,1,0,0,0,v,,
34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2905,2905,1,1,0,0,0,s,,
35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005,2005,0,1,1,0,0,v,,
36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1158,1502,0,1,1,0,0,v,,
37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2478,3103,0,1,0,1,185,t,,
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1058,1058,0,0,0,0,0,s,,
39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1774,1774,0,0,0,0,0,s,,
40,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,3694,1,0,0,0,0,t,,
41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1752,1774,1,0,1,0,0,v,,
42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3698,3698,0,1,0,1,34,t,,
43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1318,2310,0,1,1,1,161,t,,
44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,868,3138,1,0,1,1,639,t,,
45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2752,3914,0,1,0,1,638,v,,
46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3338,3338,0,1,1,1,159,t,,
47,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3747,3747,0,0,0,0,0,v,,
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2905,2905,1,0,0,0,0,t,,
49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1786,1822,0,0,0,1,41,t,,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,316,316,1,1,0,0,0,s,,
51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2226,2899,0,1,0,1,232,v,,
52,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1920,1946,0,0,1,0,0,v,,
53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,106,3573,1,0,0,1,1030,t,,
54,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1822,1822,1,1,0,0,0,v,,
55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1170,1170,1,1,0,1,375,v,,
56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3157,3157,0,1,1,0,0,v,,
57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1856,2424,0,0,1,1,362,t,,
58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2212,2212,0,0,0,1,95,s,,
59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3338,4127,0,1,0,1,109,t,,
60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3367,3367,0,1,0,0,0,v,,
61,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2957,3278,1,1,0,1,136,s,,
62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,834,834,0,1,0,0,0,s,,
63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2908,3544,0,1,0,1,261,t,,
64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,906,906,1,1,0,1,43,s,,
65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1408,3746,0,1,1,1,389,t,,
66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1835,2926,1,0,0,1,80,t,,
67,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2803,2803,0,0,0,0,0,v,,
68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,479,2107,1,1,0,1,394,v,,
69,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1470,3242,0,1,0,1,588,s,,
70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3654,3654,1,1,0,0,0,s,,
71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3716,3716,0,0,1,1,298,v,,
72,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3125,3125,0,0,0,0,0,v,,
73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1995,2431,0,1,1,0,0,v,,
74,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3747,3747,0,1,0,0,0,v,,
75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2438,2438,0,1,1,0,0,t,,
76,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2848,2848,1,1,0,0,0,s,,
77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3125,3125,1,1,0,1,160,v,,
78,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,541,2862,1,1,1,1,50,s,,
79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2859,2859,1,0,0,1,161,s,,
80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1095,1095,1,0,1,0,0,t,,
81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2508,2508,0,1,0,1,233,s,,
82,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2862,2906,0,0,0,1,129,s,,
83,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3745,3745,1,0,0,0,0,t,,
84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3698,3698,1,0,0,1,98,t,,
85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3746,3746,0,1,0,0,0,t,,
86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2962,3243,1,0,0,1,132,v,,
87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,841,1162,1,0,1,1,158,v,,
88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2912,2912,1,1,0,0,0,t,,
89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,458,3944,1,0,0,1,248,t,,
90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1269,1269,1,0,0,1,277,v,,
91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2982,2982,1,1,0,0,0,t,,
92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1415,1428,1,0,1,0,0,s,,
93,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4005,4005,0,0,0,0,0,s,,
94,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,1,0,1,54,s,,
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2872,2872,0,1,0,0,0,s,,
96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2548,2548,1,0,0,1,230,t,,
97,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2740,2740,0,0,0,0,0,t,,
98,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,217,0,0,0,0,0,v,,
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,366,366,0,1,0,0,0,s,,
100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,822,1850,1,0,1,1,287,s,,
101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3746,3746,0,0,0,0,0,t,,
102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3772,3772,0,1,0,0,0,t,,
103,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2781,2781,0,1,0,0,0,t,,
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,511,511,0,0,0,0,0,v,,
105,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1112,1112,0,1,0,1,164,s,,
106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2807,2807,1,0,0,1,405,s,,
107,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1011,1011,0,1,0,0,0,s,,
108,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2907,2907,0,1,0,1,160,v,,
109,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3724,3724,0,1,0,1,305,t,,
110,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3356,3356,0,0,0,0,0,t,,
111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3791,3852,1,1,1,1,534,t,,
112,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3642,3655,1,0,0,0,0,s,,
113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4005,4005,1,1,0,1,105,s,,
114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1130,1130,1,1,0,1,79,t,,
115,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1128,3791,1,0,1,1,404,t,,
116,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1521,1583,0,1,1,0,0,s,,
117,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1882,1914,0,1,1,0,0,t,,
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1529,1577,0,1,0,1,186,s,,
119,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,1,114,v,,
120,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,667,667,0,1,0,1,324,t,,
121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4157,4157,1,1,0,1,69,v,,
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3436,3517,1,1,0,1,225,v,,
123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1154,1154,0,0,1,1,205,v,,
124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1263,1263,1,1,0,0,0,t,,
125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1863,1863,0,1,1,1,167,v,,
126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,731,2109,0,0,1,0,0,v,,
127,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1816,1816,1,0,0,0,0,s,,
128,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1302,1302,1,1,0,1,67,s,,
129,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,785,814,1,0,0,1,206,t,,
130,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3883,3883,0,1,0,1,67,v,,
131,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2960,3746,0,1,1,1,120,t,,
132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,617,3548,0,0,0,1,356,s,,
133,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3009,3009,0,0,1,1,129,v,,
134,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,1,0,0,0,v,,
135,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1968,1968,0,1,0,0,0,t,,
136,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1121,4065,1,1,0,1,420,t,,
137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2879,2879,1,0,0,0,0,t,,
138,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2648,2648,1,1,0,1,130,v,,
139,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2891,2912,1,1,0,0,0,s,,
140,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1240,4157,1,1,1,1,141,v,,
141,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2856,2856,0,1,0,0,0,s,,
142,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2977,2977,0,0,0,0,0,t,,
143,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2960,3213,1,1,0,1,129,v,,
144,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3047,3047,0,1,1,0,0,s,,
145,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2765,2765,1,0,0,0,0,t,,
146,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1109,1109,0,0,0,1,21,v,,
147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2268,3791,0,0,0,1,605,v,,
148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1147,1147,1,0,0,1,164,t,,
149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2425,3914,0,0,0,1,130,s,,
150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2296,2296,0,0,0,1,161,t,,
151,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3619,3619,0,0,0,0,0,v,,
152,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1016,1030,1,0,0,1,451,s,,
153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,723,723,0,1,1,0,0,t,,
154,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,841,1232,0,1,1,0,0,s,,
155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,890,890,0,1,0,0,0,v,,
156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1242,1394,1,1,1,1,432,s,,
157,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3747,3747,1,1,0,0,0,v,,
158,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2060,3746,0,1,0,0,0,t,,
159,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3074,3145,1,0,0,1,163,t,,
160,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024,2369,0,1,0,1,547,v,,
161,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138,3138,1,0,1,0,0,v,,
162,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3334,3334,1,0,0,0,0,t,,
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,90,0,1,0,0,0,t,,
164,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2632,2632,1,0,0,1,140,v,,
165,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3451,3451,1,0,0,0,0,v,,
166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3543,3556,0,0,0,1,129,t,,
167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,169,169,1,1,0,1,163,s,,
168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3662,3704,0,1,1,1,310,t,,
169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,582,1584,1,1,0,1,326,v,,
170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,969,974,0,0,1,1,43,s,,
171,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1968,1968,1,1,0,0,0,t,,
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,364,364,1,0,0,1,249,t,,
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2185,2185,0,1,0,0,0,s,,
174,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,91,0,0,0,0,0,t,,
175,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3502,3502,0,1,0,0,0,v,,
176,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3485,3541,0,1,0,0,0,s,,
177,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2855,2855,0,1,0,0,0,t,,
178,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890,1890,1,0,0,1,77,t,,
179,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3944,3944,1,1,0,1,68,s,,
180,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2347,3276,0,0,0,1,219,v,,
181,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3237,3237,0,1,1,0,0,s,,
182,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3772,3822,1,0,0,1,149,v,,
183,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3583,3622,1,0,0,1,140,v,,
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,140,140,0,1,1,0,0,v,,
185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2960,3188,0,1,1,1,129,s,,
186,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1598,1598,1,1,0,1,40,t,,
187,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1689,1800,0,0,1,1,108,t,,
188,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2675,2675,0,1,0,1,30,t,,
189,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1989,3255,0,1,0,1,130,v,,
190,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1569,1569,1,1,0,1,32,s,,
191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1906,3521,1,0,0,1,50,s,,
192,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2408,2408,1,0,0,1,54,v,,
193,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1864,2487,0,1,0,1,243,t,,
194,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2947,2947,0,0,0,1,80,v,,
195,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2723,2842,1,1,0,1,237,v,,
196,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3660,3660,1,1,0,0,0,v,,
197,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2893,2893,0,1,0,0,0,t,,
198,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2466,4036,1,1,0,1,145,v,,
199,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1882,1914,0,0,1,0,0,t,,
200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2502,2502,0,0,1,0,0,v,,
201,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2024,2068,1,1,0,1,437,v,,
202,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2080,2114,1,1,1,1,35,t,,
203,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1856,1891,0,0,1,0,0,v,,
204,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,583,594,0,0,0,1,412,s,,
205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3369,3369,0,0,0,0,0,t,,
206,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,181,181,0,0,0,0,0,v,,
207,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,50,50,1,1,0,1,25,s,,
208,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3270,3270,1,0,0,1,153,s,,
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1926,1926,0,1,0,1,62,t,,
210,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1567,1567,1,0,0,1,32,v,,
211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2404,4036,1,0,0,1,187,t,,
212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,906,906,0,0,0,1,80,t,,
213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1577,1589,1,0,0,1,277,s,,
214,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1037,1899,0,1,0,1,278,t,,
215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2768,2768,0,0,0,0,0,s,,
216,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3522,3522,0,0,0,0,0,t,,
217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,511,1815,1,0,0,1,268,t,,
218,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833,833,0,0,0,0,0,t,,
219,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,191,2024,1,1,0,1,363,s,,
220,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,182,182,1,1,0,1,1075,t,,
221,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2201,2558,0,0,0,1,164,v,,
222,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1962,2767,1,1,1,0,0,v,,
223,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3236,3236,1,1,0,1,128,s,,
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,583,1060,1,0,0,1,69,v,,
225,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3453,3453,1,0,0,0,0,t,,
226,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3746,3746,0,1,0,0,0,s,,
227,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2081,2081,1,0,1,1,130,s,,
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2541,2541,0,0,0,1,174,s,,
229,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2205,3390,0,0,0,1,36,v,,
230,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3263,3263,0,0,0,0,0,t,,
231,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2918,2992,1,1,0,0,0,v,,
232,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2996,2996,1,0,0,1,184,v,,
233,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1701,1701,0,0,0,1,110,t,,
234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3883,3883,1,1,0,1,33,s,,
235,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2802,2834,1,0,0,1,130,s,,
236,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1946,1946,1,0,0,1,130,s,,
237,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2562,2562,1,1,0,1,35,t,,
238,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2705,2705,0,1,0,1,130,s,,
239,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2333,2333,1,1,1,1,161,v,,
240,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2933,2936,1,1,0,1,54,v,,
241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,290,290,1,1,0,1,163,t,,
242,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3745,3745,0,1,0,0,0,t,,
243,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3517,3747,0,0,0,0,0,v,,
244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,890,890,0,1,0,0,0,t,,
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,42,42,0,0,1,0,0,s,,
246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,772,772,0,0,0,1,80,s,,
